ISKJ,"ПАО ""ИСКЧ""",iИСКЧ ао,HSCI ao,0.1,SUR,2006-05-23,RU000A0JNAB6,85000000,stock_shares,common_share,0.0,0.0
LVHK,Левенгук ОАО ао,Левенгук,Levenguk ao,10.0,SUR,2012-11-28,RU000A0JT7Y2,52940000,stock_shares,common_share,0.0,0.0
tuog,"Открытое акционерное общество ""Газпром газораспределение Тула""","ОАО ""Газпром газораспределение Тула""","Public Joint-Stock Company ""Gazprom gazoraspredelenie Tula""",1.0,RUB,,RU0002636986,158591,stock_shares,common_share,0.0,0.0
WTCM,"""Центр междун. торговли""ПАО ао",ЦМТ ао,CMT,1.0,SUR,2007-09-27,RU0008137070,1083000000,stock_shares,common_share,0.0,0.0
tobm,"Публичное акционерное общество Производственно – конструкторское объединение ""Теплообменник""","ПАО ПКО ""Теплообменник""","The Public Joint Stock Company Production Design Corporation ""Teploobmennik""",0.2,RUB,,RU0006944154,115465569,stock_shares,common_share,0.0,0.0
CF-RM,"CF Industries Holdings, Inc.",CF Industr,"CF Industries Holdings, Inc.",0.01,USD,2021-06-01,US1252691001,215099967,stock_shares,common_share,0.0,0.0
CPRT-RM,"Copart, Inc.",Copart,"Copart, Inc.",1.0E-4,USD,2021-08-02,US2172041061,237100519,stock_shares,common_share,0.0,0.0
AMZN-RM,Amazon.com Inc.,Amazon,Amazon.com Inc.,0.01,USD,2018-05-21,US0231351067,506440520,stock_shares,common_share,0.0,0.0
DHR-RM,Danaher Corporation ORD SHS,DanaherCor,Danaher Corporation ORD SHS,0.01,USD,2021-10-01,US2358511028,713899565,stock_shares,common_share,0.0,0.0
ETR-RM,Entergy CorporationORD SHS,EntergyCo,Entergy CorporationORD SHS,0.01,USD,2021-11-01,US29364G1031,200954557,stock_shares,common_share,0.0,0.0
srog,"Акционерное общество ""Газпром газораспределение Саратовская область""","АО ""Газпром газораспределение Саратовская область""","Joint-Stock Company ""Gazprom Gazoraspredelenie Saratovskaya Oblast'""",0.02,RUB,,RU0007664918,3678100,stock_shares,common_share,0.0,0.0
ES-RM,Eversource Energy ORD SHS,Eversource,Eversource Energy ORD SHS,5.0,USD,2021-11-01,US30040W1080,343643255,stock_shares,common_share,0.0,0.0
ROST-RM,"Ross Stores, Inc. ORD SHS",RossStores,"Ross Stores, Inc. ORD SHS",0.01,USD,2021-10-01,US7782961038,355365961,stock_shares,common_share,0.0,0.0
sngf,"Публичное акционерное Общество ""Сибнефтегеофизика""","ПАО ""СибНГФ""","Public Joint-Stock Company ""Sibneftegeofizika""",0.1,RUB,,RU000A0JP4M8,786700,stock_shares,common_share,0.0,0.0
RSTI,"""Российские сети"" ПАО ао",Россети ао,Rosseti ao,1.0,SUR,2014-01-06,RU000A0JPVJ0,198827865141,stock_shares,common_share,0.0,0.0
KMX-RM,"CarMax, Inc. ORD SHS",CarMax,"CarMax, Inc. ORD SHS",0.5,USD,2021-11-01,US1431301027,162113218,stock_shares,common_share,0.0,0.0
ulenp,"Открытое акционерное общество энергетики и электрификации Ульяновской области ""Ульяновскэнерго""","ОАО ""Ульяновскэнерго""","Public Joint-Stock Company energetiki i elektrifikatsii Ul'yanovskoj oblasti ""Ul'yanovskenergo""",1.0,RUB,,RU0007661278,6917190,stock_shares,preferred_share,0.0,0.0
STSB,Ставрополэнергосбыт ПАО ао,СтаврЭнСб,StavropolEnergoSbyt,0.0048,SUR,2008-03-28,RU000A0ET1W4,859074636,stock_shares,common_share,0.0,0.0
gzav,"Публичное акционерное общество ""Газпром автоматизация""","ПАО ""Газпром автоматизация""","Public Joint Stock Company ""Gazprom avtomatizatsiya""",1.0,RUB,,RU000A0JPMM3,1179757,stock_shares,common_share,0.0,0.0
UNAC,Об.авиастр.корп. ПАО ао,iАвиастКао,Ob.aviastroitelnaya korp.,0.86,SUR,2013-09-17,RU000A0JPLZ7,520795137209,stock_shares,common_share,0.0,0.0
KMB-RM,Kimberly Clark Ord Shs,KimberlyCl,Kimberly Clark Ord Shs,1.25,USD,2021-09-01,US4943681035,336762087,stock_shares,common_share,0.0,0.0
NMTP,НМТП (ПАО) ао,НМТП ао,NMTP,0.01,SUR,2007-11-08,RU0009084446,19259815400,stock_shares,common_share,0.0,0.0
ZBH-RM,Zimmer Biomet Hold ORD SHS,ZimmerBio,Zimmer Biomet Hold ORD SHS,0.01,USD,2021-11-01,US98956P1021,208840496,stock_shares,common_share,0.0,0.0
MFGS,"ао ""Славнефть-Мегионнефтегаз""",Мегион-ао,Megion,25.0,SUR,2005-01-11,RU0009011126,99474705,stock_shares,common_share,0.0,0.0
SNAP-RM,Snap Inc.,Snap,Snap Inc.,1.0E-5,USD,2021-08-02,US83304A1060,1325838278,stock_shares,common_share,0.0,0.0
TDOC-RM,Teladoc Health Ord Shs,Teladoc,Teladoc Health Ord Shs,0.001,USD,2021-09-01,US87918A1051,159248228,stock_shares,common_share,0.0,0.0
urhc,"Открытое акционерное общество ""Уралхимпласт""","ОАО ""УХП""","Public Joint-Stock Company ""Uralchimplast""",100.0,RUB,,RU000A0JPEU3,3479051,stock_shares,common_share,0.0,0.0
KSGR,Кокс ПАО ао,Кокс ао,Koks ao,0.1,SUR,2011-02-04,RU000A0ERNT3,330046400,stock_shares,common_share,0.0,0.0
OTIS-RM,Otis Worldwide Corp ORD SHS,OtisWorldw,Otis Worldwide Corp ORD SHS,0.01,USD,2021-10-01,US68902V1070,426778666,stock_shares,common_share,0.0,0.0
PM-RM,Philip Morris International,PhMorris,Philip Morris International,,USD,2021-07-01,US7181721090,1558540992,stock_shares,common_share,0.0,0.0
ATO-RM,Atmos Energy Ord Shs,AtmosEnerg,Atmos Energy Ord Shs,,SUR,2021-09-01,US0495601058,130790813,stock_shares,common_share,0.0,0.0
GIS-RM,"General Mills, Inc. ORD SHS",GenerMills,"General Mills, Inc. ORD SHS",0.1,USD,2021-10-01,US3703341046,605692452,stock_shares,common_share,0.0,0.0
IP-RM,International Paper Co ORD SHS,IntPaperCo,International Paper Co ORD SHS,1.0,USD,2021-10-01,US4601461035,390834614,stock_shares,common_share,0.0,0.0
ADM-RM,Archer Daniels Midland Ord Shs,ADM,Archer Daniels Midland Ord Shs,,SUR,2021-09-01,US0394831020,559366478,stock_shares,common_share,0.0,0.0
CMCSA-RM,Comcast Corporation Cl A,Comcast,Comcast Corporation Cl A,0.01,USD,2021-03-01,US20030N1019,4580292854,stock_shares,common_share,0.0,0.0
BWA-RM,BorgWarner Inc. ORD SHS,BorgWarner,BorgWarner Inc. ORD SHS,0.01,USD,2021-10-01,US0997241064,239790175,stock_shares,common_share,0.0,0.0
URKA,Уралкалий ПАО ао,Уркалий-ао,Uralkaliy,0.5,SUR,2007-11-07,RU0007661302,1268585999,stock_shares,common_share,0.0,0.0
HBI-RM,Hanesbrands Inc. ORD SHS,Hanesbrand,Hanesbrands Inc. ORD SHS,0.01,USD,2021-10-01,US4103451021,349151707,stock_shares,common_share,0.0,0.0
CARR-RM,Carrier Global Corp ORD SHS,Carrier,Carrier Global Corp ORD SHS,0.01,USD,2021-10-01,US14448C1045,867701396,stock_shares,common_share,0.0,0.0
LYV-RM,Live Nation Entertainm ORD SHS,LiveNation,Live Nation Entertainm ORD SHS,0.01,USD,2021-10-01,US5380341090,218990083,stock_shares,common_share,0.0,0.0
SNGS,Сургутнефтегаз ПАО акции об.,Сургнфгз,Surgut,1.0,SUR,2005-01-11,RU0008926258,35725994705,stock_shares,common_share,0.0,0.0
SGZH,Сегежа ао,Сегежа,Segezha,0.1,SUR,2021-04-28,RU000A102XG9,15690000000,stock_shares,common_share,0.0,0.0
ROLO,"""Русолово"" ПАО ао",Русолово,Rusolovo PAO ao,1.0,SUR,2013-08-12,RU000A0JU1B0,3000100000,stock_shares,common_share,0.0,0.0
GLW-RM,Corning Incorporated,Corning,Corning Incorporated,0.5,USD,2021-07-01,US2193501051,854032129,stock_shares,common_share,0.0,0.0
KSU-RM,KANSAS CITY SOUTHERN ORDSHS,KansasCity,KANSAS CITY SOUTHERN ORDSHS,0.01,USD,2021-11-01,US4851703029,90980440,stock_shares,common_share,0.0,0.0
LEN-RM,Lennar Corporation ORDSHS CL A,LennarCo A,Lennar Corporation ORDSHS CL A,0.1,USD,2021-10-01,US5260571048,274694829,stock_shares,common_share,0.0,0.0
MET-RM,"MetLife, Inc.",MetLife,"MetLife, Inc.",0.01,USD,2021-07-01,US59156R1086,856897461,stock_shares,common_share,0.0,0.0
CTAS-RM,Cintas Ord Shs,CintasCorp,Cintas Ord Shs,,SUR,2021-09-01,US1729081059,103407624,stock_shares,common_share,0.0,0.0
SQ-RM,"Square, Inc.",Square,"Square, Inc.",,USD,2021-06-01,US8522341036,397396181,stock_shares,common_share,0.0,0.0
ADSK-RM,AUTODESK INC ORDSHS,Autodesk,AUTODESK INC ORDSHS,0.01,USD,2021-11-01,US0527691069,219850441,stock_shares,common_share,0.0,0.0
HIMCP,Химпром ПАО ап,Химпром ап,Himprom ap,1.0,SUR,2011-12-14,RU0009099006,229631402,stock_shares,preferred_share,0.0,0.0
KRKNP,Саратовский НПЗ ПАО ап,СаратНПЗ-п,Saratovskiy NPZ ap,1.0,SUR,2011-12-08,RU0009100416,249337,stock_shares,preferred_share,0.0,0.0
SYK-RM,Stryker Corporation,Stryker,Stryker Corporation,0.1,USD,2021-08-02,US8636671013,377096272,stock_shares,common_share,0.0,0.0
TER-RM,"Teradyne, Inc. ORD SHS",Teradyne,"Teradyne, Inc. ORD SHS",0.125,USD,2021-11-01,US8807701029,164973199,stock_shares,common_share,0.0,0.0
JPM-RM,JPMorgan Chase Ord Shs,JPMorgan,JPMorgan Chase Ord Shs,1.0,USD,2021-09-01,US46625H1005,2988155355,stock_shares,common_share,0.0,0.0
RF-RM,Regions Financial Ord Shs,Regions,Regions Financial Ord Shs,0.01,USD,2021-09-01,US7591EP1005,954539307,stock_shares,common_share,0.0,0.0
ORCL-RM,Oracle Corporation,Oracle,Oracle Corporation,0.01,USD,2021-03-01,US68389X1054,2738179000,stock_shares,common_share,0.0,0.0
LRCX-RM,Lam Research Corporation,LamRsrch,Lam Research Corporation,0.001,USD,2021-04-01,US5128071082,141953681,stock_shares,common_share,0.0,0.0
BAX-RM,Baxter International ORD SHS,BaxterInt,Baxter International ORD SHS,1.0,USD,2021-10-01,US0718131099,499910255,stock_shares,common_share,0.0,0.0
NOC-RM,Northrop Grumman Corporation,Northrop,Northrop Grumman Corporation,1.0,USD,2021-08-02,US6668071029,160109103,stock_shares,common_share,0.0,0.0
TJX-RM,"The TJX Companies, Inc.",TJX Comp,"The TJX Companies, Inc.",1.0,USD,2021-05-04,US8725401090,1202539197,stock_shares,common_share,0.0,0.0
FTV-RM,Fortive Corporation ORD SHS,FortiveCor,Fortive Corporation ORD SHS,0.01,USD,2021-10-01,US34959J1088,358390903,stock_shares,common_share,0.0,0.0
EHTH-RM,"eHealth, Inc.",eHealth,"eHealth, Inc.",0.001,USD,2021-06-01,US28238P1093,26185716,stock_shares,common_share,0.0,0.0
DHI-RM,"D.R. Horton, Inc.",DRHorton,"D.R. Horton, Inc.",0.01,USD,2021-07-01,US23331A1097,358183972,stock_shares,common_share,0.0,0.0
KRKOP,ТКЗ Красный котельщик ПАО ап,ТКЗКК ап,TKZ Krasny Kotelshchik ap,1.0,SUR,2011-12-09,RU0009098131,71086000,stock_shares,preferred_share,0.0,0.0
SLEN,"ПАО ""Сахалинэнерго"" ао",Сахэнер ао,Sakhalinenergo ao,10.0,SUR,2017-02-06,RU0009280465,530244299,stock_shares,common_share,0.0,0.0
GMKN,"ГМК ""Нор.Никель"" ПАО ао",ГМКНорНик,NorNickel GMK,1.0,SUR,2006-12-26,RU0007288411,153654624,stock_shares,common_share,0.0,0.0
URKZ,"ПАО ""Уральская кузница"" ао",УрКузница,Uralskaya kuznica ao,1.0,SUR,2012-05-11,RU000A0JPFY2,547761,stock_shares,common_share,0.0,0.0
gzavp,"Публичное акционерное общество ""Газпром автоматизация""","ПАО ""Газпром автоматизация""","Public Joint Stock Company ""Gazprom avtomatizatsiya""",1.0,RUB,,RU000A0JPMN1,379213,stock_shares,preferred_share,0.0,0.0
SEDG-RM,Solaredge Technologies Ord Shs,Solaredge,Solaredge Technologies Ord Shs,1.0E-4,USD,2021-09-01,US83417M1045,52270276,stock_shares,common_share,0.0,0.0
CTRA-RM,Coterra,Coterra,Coterra,0.1,USD,2021-10-06,US1270971039,399664181,stock_shares,common_share,0.0,0.0
pbgzp,"Открытое акционерное общество ""Подзембургаз"" Буровой компании открытого акционерного общества ""Газпром""","ОАО ""Подзембургаз""","Public Joint-Stock Company ""Podzemburgaz"" Burovoj kompanii otkrytogo aktsionernogo obschestva ""Gazprom""",1.0,RUB,,RU000A0JPA91,705967,stock_shares,preferred_share,0.0,0.0
NKSH,Нижнекамскшина ПАО ао,Нижкамшина,Nizhnekamskshina ao,1.0,SUR,2011-12-14,RU0009100515,63731171,stock_shares,common_share,0.0,0.0
NEM-RM,Newmont Corporation,Newmont,Newmont Corporation,1.6,USD,2020-11-02,US6516391066,799126123,stock_shares,common_share,0.0,0.0
NRG-RM,"Nrg Energy, Inc. ORD SHS",NrgEnergy,"Nrg Energy, Inc. ORD SHS",0.01,USD,2021-10-01,US6293775085,244776881,stock_shares,common_share,0.0,0.0
AMAT-RM,"Applied Materials, Inc.",AppliedMtr,"Applied Materials, Inc.",0.01,USD,2021-04-01,US0382221051,902928500,stock_shares,common_share,0.0,0.0
ANSS-RM,Ansys Ord Shs,Ansys,Ansys Ord Shs,0.01,USD,2021-09-01,US03662Q1058,87252523,stock_shares,common_share,0.0,0.0
TTWO-RM,Take-Two Interactive Software,Take-Two,Take-Two Interactive Software,0.01,USD,2021-03-01,US8740541094,116518331,stock_shares,common_share,0.0,0.0
REGN-RM,"Regeneron Pharmaceuticals,Inc.",Regeneron,"Regeneron Pharmaceuticals,Inc.",0.001,USD,2021-03-01,US75886F1075,105106409,stock_shares,common_share,0.0,0.0
pgho,"Публичное акционерное общество ""Приаргунское производственное горно-химическое объединение""","ПАО ""ППГХО""","Public Joint-Stock Company ""Priargunsky Industrial Mining and Chemical Union""",1.0,RUB,,RU0006935889,4023451,stock_shares,common_share,0.0,0.0
FLOT,Совкомфлот ао,Совкомфлот,Sovcomflot,1.0,SUR,2020-10-07,RU000A0JXNU8,2374993901,stock_shares,common_share,0.0,0.0
TORSP,"ап ""Томская распределит.комп.""",ТРК ап,Tomsk raspredelit. komp ap,0.4916,SUR,2005-12-28,RU000A0ETZM8,576693000,stock_shares,preferred_share,0.0,0.0
CLX-RM,Clorox Ord Shs,Clorox,Clorox Ord Shs,1.0,USD,2021-09-01,US1890541097,122813075,stock_shares,common_share,0.0,0.0
IQV-RM,IQVIA HOLDINGS INC ORDSHS,IQVIAHold,IQVIA HOLDINGS INC ORDSHS,0.01,USD,2021-11-01,US46266C1053,191039501,stock_shares,common_share,0.0,0.0
ACKO,АСКО-СТРАХОВАНИЕ ПАО ао,АСКО ао,ASKO-STRAKHOVANIE ao,1.0,SUR,2017-07-11,RU000A0JXS91,536000000,stock_shares,common_share,0.0,0.0
ZION-RM,Zions Bancorp NA ORD SHS,Zions Banc,Zions Bancorp NA ORD SHS,0.001,USD,2021-11-01,US9897011071,162070463,stock_shares,common_share,0.0,0.0
MFON,МегаФон ПАО ао,МегаФон ао,MegaFon ao,0.1,SUR,2012-11-28,RU000A0JS942,620000000,stock_shares,common_share,0.0,0.0
sempp,"Открытое акционерное общество ""Северное морское пароходство""","ОАО ""СМП""","Joint Stock Company ""Northern Shipping Company""",1.0,RUB,,RU0007665022,239464,stock_shares,preferred_share,0.0,0.0
FSLY-RM,Fastly Ord Shs Class A,Fastly A,Fastly Ord Shs Class A,2.0E-5,USD,2021-09-01,US31188V1008,116600000,stock_shares,common_share,0.0,0.0
CTLT-RM,"Catalent, Inc. ORD SHS",Catalent,"Catalent, Inc. ORD SHS",0.01,USD,2021-11-01,US1488061029,170787238,stock_shares,common_share,0.0,0.0
DISH-RM,DISH Network Corp ORD SHS CL A,DISH Net A,DISH Network Corp ORD SHS CL A,0.01,USD,2021-10-01,US25470M1099,289454037,stock_shares,common_share,0.0,0.0
leog,"Акционерное общество ""Газпром газораспределение Ленинградская область""","АО ""Газпром газораспределение Ленинградская область""","Joint-Stock Company ""Gazprom gazoraspredelenie Leningradskaya oblast""",3500.0,RUB,,RU000A0JNKB5,79096,stock_shares,common_share,0.0,0.0
SARE,Саратовэнерго(ПАО)-ао,СаратЭн-ао,SaratovEnergo ao,0.02,SUR,2011-11-24,RU0009100754,4865127996,stock_shares,common_share,0.0,0.0
FTNT-RM,"Fortinet, Inc. ORD SHS",Fortinet,"Fortinet, Inc. ORD SHS",0.001,USD,2021-11-01,US34959E1091,163320200,stock_shares,common_share,0.0,0.0
NOW-RM,"ServiceNow, Inc.",ServiceNow,"ServiceNow, Inc.",0.001,USD,2021-04-01,US81762P1021,198100000,stock_shares,common_share,0.0,0.0
PMSB,"""Пермэнергосбыт"" ПАО ао",ПермьЭнСб,Perm' EnergoSbyt,3.25,SUR,2006-02-09,RU000A0ET123,36210960,stock_shares,common_share,0.0,0.0
GPN-RM,Global Payments Inc. ORD SHS,Global Pay,Global Payments Inc. ORD SHS,,SUR,2021-11-01,US37940X1028,293748093,stock_shares,common_share,0.0,0.0
CAH-RM,Cardinal Health Ord Shs,CardinalHl,Cardinal Health Ord Shs,,SUR,2021-09-01,US14149Y1082,290441408,stock_shares,common_share,0.0,0.0
NWS-RM,News Corp Ord Shs Class B,NewsCorp B,News Corp Ord Shs Class B,0.01,USD,2021-09-01,US65249B2088,199630240,stock_shares,common_share,0.0,0.0
IDVP,"ПАО ""ИНВЕСТ-ДЕВЕЛОПМЕНТ"" - ао",Инв-Девел,"PAO ""INVEST-DEVELOPMENT""",1000.0,SUR,2015-03-06,RU000A0JV7V4,2110524,stock_shares,common_share,0.0,0.0
VSMO,Корп. ВСМПО-АВИСМА (ПАО) ао,ВСМПО-АВСМ,Corp. VSMPO-AVISMA ao,1.0,SUR,2004-11-11,RU0009100291,11529538,stock_shares,common_share,0.0,0.0
KMAZ,КАМАЗ ПАО,КАМАЗ,KAMAZ,50.0,SUR,2004-02-26,RU0008959580,707229559,stock_shares,common_share,0.0,0.0
DERZP,Держава ап,Держава ап,DERZHAVA pref,4915.0,SUR,2020-10-09,RU000A1021R0,2000,stock_shares,preferred_share,0.0,0.0
ALL-RM,ALLSTATE CORP/THE ORDSHS,Allstate,ALLSTATE CORP/THE ORDSHS,0.01,USD,2021-11-01,US0200021014,295681408,stock_shares,common_share,0.0,0.0
PIKK,ПИК СЗ (ПАО) ао,ПИК ао,PIK SZ,62.5,SUR,2007-06-13,RU000A0JP7J7,660497344,stock_shares,common_share,0.0,0.0
vdok,"Открытое акционерное общество Вышневолоцкий ордена ""Знак Почета""мебельно-деревообрабатывающий комбинат","ОАО ""Вышневолоцкий МДОК""","Public Joint-Stock Company Vyshnevolockij ordena ""Znak Pocheta""mebelno-derevoobrabatyvayushhij kombinat",0.6,RUB,,RU000A0JPCJ0,230335,stock_shares,common_share,0.0,0.0
COF-RM,Capital One Financial ORD SHS,CapitOneF,Capital One Financial ORD SHS,0.01,USD,2021-10-01,US14040H1059,446113769,stock_shares,common_share,0.0,0.0
CHTR-RM,"Charter Communications, Inc.",Charter,"Charter Communications, Inc.",0.001,USD,2021-08-02,US16119P1084,176703987,stock_shares,common_share,0.0,0.0
WRK-RM,Westrock Co Ord Shs,WestrockCo,Westrock Co Ord Shs,0.01,USD,2021-11-01,US96145D1054,267006103,stock_shares,common_share,0.0,0.0
LOW-RM,"Lowe's Companies, Inc.",Lowe's,"Lowe's Companies, Inc.",0.5,USD,2021-04-01,US5486611073,706890137,stock_shares,common_share,0.0,0.0
PCAR-RM,PACCAR Inc,PACCAR,PACCAR Inc,1.0,USD,2021-08-02,US6937181088,347173392,stock_shares,common_share,0.0,0.0
UCSS,ПАО ОКС ао,ОКС ао,PAO OKS ao,1000.0,SUR,2013-05-14,RU000A0JTQK0,23718856,stock_shares,common_share,0.0,0.0
DXCM-RM,"DexCom, Inc.",DexCom,"DexCom, Inc.",0.001,USD,2021-05-04,US2521311074,96748901,stock_shares,common_share,0.0,0.0
TUZA,Туймаз. завод автобетоновозов,ТЗА ао,Tuimaz. Zavod Avtobetonovozov,10.0,SUR,2008-08-28,RU000A0HL7A2,8220000,stock_shares,common_share,0.0,0.0
szucp,"Публичное акционерное общество ""Северо-Западная энергетическая управляющая компания""","ПАО ""СЗЭУК""","PUBLIC JOINT STOCK COMPANY ""NORTH-WEST ENERGY MANAGING COMPANY""",0.17,RUB,,RU000A0H1LJ7,131328000,stock_shares,preferred_share,0.0,0.0
WAB-RM,WABTEC CORP ORD SHS,WABTECCorp,WABTEC CORP ORD SHS,0.01,USD,2021-11-01,US9297401088,189034202,stock_shares,common_share,0.0,0.0
STSBP,Ставрополэнергосбыт ПАО ап,СтаврЭнСбп,StavropolEnergoSbyt (pref),0.0048,SUR,2008-03-28,RU000A0ET1Z7,262100364,stock_shares,preferred_share,0.0,0.0
vogz,"Открытое акционерное общество ""Воронежоблгаз""","ОАО ""Воронежоблгаз""","Public Joint-Stock Company ""Voronezhoblgaz""",0.01,RUB,,RU0007964912,22173400,stock_shares,common_share,0.0,0.0
ROSB,РОСБАНК ПАО ао,Росбанк ао,ROSBANK,10.0,SUR,2006-01-30,RU000A0HHK26,1551401853,stock_shares,common_share,0.0,0.0
ECL-RM,Ecolab Inc.,Ecolab Inc,Ecolab Inc.,1.0,USD,2021-05-04,US2788651006,286087223,stock_shares,common_share,0.0,0.0
KOGK,Коршуновский ГОК ПАО ао,КоршГОК ао,Korshunovskii GOK,1.0,SUR,2008-08-28,RU0002155359,250126,stock_shares,common_share,0.0,0.0
PSX-RM,Phillips 66,Phillips66,Phillips 66,0.01,USD,2021-08-02,US7185461040,437989408,stock_shares,common_share,0.0,0.0
VRSK-RM,"Verisk Analytics, Inc. ORD SHS",VeriskAncs,"Verisk Analytics, Inc. ORD SHS",0.001,USD,2021-11-01,US92345Y1064,161350469,stock_shares,common_share,0.0,0.0
VIAC-RM,ViacomCBS Inc.,ViacomCBS,ViacomCBS Inc.,0.001,USD,2021-06-01,US92556H2067,605813492,stock_shares,common_share,0.0,0.0
RHI-RM,Robert Half Internation ORDSHS,RobertHalf,Robert Half Internation ORDSHS,0.001,USD,2021-11-01,US7703231032,111970041,stock_shares,common_share,0.0,0.0
MOS-RM,The Mosaic Company,Mosaic,The Mosaic Company,0.01,USD,2021-06-01,US61945C1036,379896944,stock_shares,common_share,0.0,0.0
ungs,"Открытое Акционерное Общество ""Трест Уралнефтегазстрой""","ОАО ""Трест Уралнефтегазстрой""","JSC ""Trest Uralneftegasstroy"".",0.1,RUB,,,472500,stock_shares,common_share,0.0,0.0
CSCO-RM,"Cisco Systems, Inc.",Cisco,"Cisco Systems, Inc.",0.001,USD,2020-11-02,US17275R1023,4217735917,stock_shares,common_share,0.0,0.0
DD-RM,"DuPont de Nemours, Inc.",DuPont,"DuPont de Nemours, Inc.",0.01,USD,2021-03-01,US26614N1028,523056692,stock_shares,common_share,0.0,0.0
IR-RM,Ingersoll Rand Inc. ORD SHS,IngersollR,Ingersoll Rand Inc. ORD SHS,0.01,USD,2021-10-01,US45687V1061,420154805,stock_shares,common_share,0.0,0.0
RKKE,РКК Энергия им.С.П.Королева ао,ЭнергияРКК,RKK Energia,1000.0,SUR,2008-05-29,RU0009095939,1843546,stock_shares,common_share,0.0,0.0
AMC-RM,AMC Entertainment Holdings,AMC,AMC Entertainment Holdings,0.01,USD,2021-08-02,US00165C1045,513330240,stock_shares,common_share,0.0,0.0
ROST,РОСИНТЕР РЕСТОРАНТС (ПАО),РОСИНТЕРао,ROSINTER RESTAURANTS ao,169.7,SUR,2008-08-11,RU000A0JP922,16305334,stock_shares,common_share,0.0,0.0
HYDR,"ПАО ""РусГидро""",РусГидро,RusGidro,1.0,SUR,2008-05-22,RU000A0JPKH7,439288905849,stock_shares,common_share,0.0,0.0
ROSN,ПАО НК Роснефть,Роснефть,Rosneft,0.01,SUR,2006-07-19,RU000A0J2Q06,10598177817,stock_shares,common_share,0.0,0.0
GE-RM,General Electric Company,GE Co,General Electric Company,0.01,USD,2020-11-02,US3696043013,1097662889,stock_shares,common_share,0.0,0.0
OSUR-RM,OraSure Technologies Ord Shs,OraSure,OraSure Technologies Ord Shs,,USD,2021-09-01,US68554V1089,72008941,stock_shares,common_share,0.0,0.0
PVH-RM,PVH Corp.ORD SHS,PVH,PVH Corp.ORD SHS,1.0,USD,2021-11-01,US6936561009,71051546,stock_shares,common_share,0.0,0.0
MGTSP,"ПАО ""МГТС"" ап (4 в)",МГТС-4ап,MGTS-4,40.0,SUR,2005-01-11,RU0009036479,15514042,stock_shares,preferred_share,0.0,0.0
XOM-RM,Exxon Mobil Corporation,ExxonMobil,Exxon Mobil Corporation,,USD,2018-09-17,US30231G1022,4233562917,stock_shares,common_share,0.0,0.0
kuvz,"Открытое акционерное общество ""Костромской ювелирный завод""","ОАО ""КоЮЗ""","Public Joint-Stock Company ""Kostromskoj yuvelirnyj zavod""",0.05,RUB,,RU000A0JPY02,1271200,stock_shares,common_share,0.0,0.0
UNKL,Южно-Уральский никел. комб. ао,ЮУНК ао,Uzhno-Uralskiy nikel. komb. ao,1.0,SUR,2012-04-20,RU0004887991,599737,stock_shares,common_share,0.0,0.0
TDY-RM,Teledyne Technologies Ord Shs,Teledyne,Teledyne Technologies Ord Shs,0.01,USD,2021-09-01,US8793601050,46606641,stock_shares,common_share,0.0,0.0
AME-RM,"AMETEK, INC. ORDSHS",AMETEK,"AMETEK, INC. ORDSHS",0.01,USD,2021-11-01,US0311001004,231205619,stock_shares,common_share,0.0,0.0
